Entrez ID	Gene Symbol	Gene Name	Refseq mRNA	Refseq Protein (linked to MSKCC Mapback)	Ensembl Gene ID	UCSC Genomic Coordinates	GO Categories	Sources 
2120	ETV6	ets variant gene 6 (TEL oncogene)	NM_001987	NP_001978.1	ENSG00000139083	chr12:11694328 - 11935247	"cell differentiation;nucleus;protein binding;regulation of transcription, DNA-dependent;sequence-specific DNA binding;transcription;transcription factor activity"	"Futreal et al 2004, Mitelman 2000, Stability, Entrez Query:Oncogene, Translocation"
51513	ETV7	ets variant gene 7 (TEL2 oncogene)	NM_016135	NP_057219.1	ENSG00000010030	chr6:36442399 - 36463296	"nucleus;organ morphogenesis;regulation of transcription, DNA-dependent;sequence-specific DNA binding;specific RNA polymerase II transcription factor activity;transcription;transcription factor activity;transcription from RNA polymerase II promoter"	Entrez Query:Oncogene
2122	EVI1	ecotropic viral integration site 1	"NM_005241, NM_001105077"	"NP_005232.2, NP_001098547.2"	ENSG00000085276	chr3:170285390 - 170345481	biological_process;DNA binding;intracellular;metal ion binding;molecular_function;multicellular organismal development;nucleic acid binding;nucleus;positive regulation of transcription from RNA polymerase II promoter;regulation of cell proliferation;zinc ion binding	"Futreal et al 2004, Mitelman 2000, Vogelstein and Kinzler 2004, Entrez Query:Oncogene, Translocation"
2130	EWSR1	Ewing sarcoma breakpoint region 1	"NM_005243, NM_013986"	"NP_005234.1, NP_053733.1"	ENSG00000182944	chr22:27994325 - 28026151	"calmodulin binding;intracellular;metal ion binding;nucleic acid binding;nucleotide binding;nucleus;regulation of transcription, DNA-dependent;RNA binding;transcription;zinc ion binding"	"Futreal et al 2004, Mitelman 2000, Vogelstein and Kinzler 2004, Entrez Query:Oncogene, Translocation"
2146	EZH2	enhancer of zeste homolog 2 (Drosophila)	"NM_004456, NM_152998"	"NP_004447.2, NP_694543.1"	ENSG00000106462	chr7:148135670 - 148175323	"DNA binding;ESC/E(Z) complex;establishment and/or maintenance of chromatin architecture;histone methyltransferase activity;nucleus;protein binding;regulation of transcription, DNA-dependent;transcription"	"Stability, Tumor Suppressor, Entrez Query:Oncogene"
2152	F3	"coagulation factor III (thromboplastin, tissue factor)"	NM_001993	NP_001984.1	ENSG00000117525	chr1:94768603 - 94779780	blood coagulation;immune response;integral to membrane;plasma membrane;transmembrane receptor activity	"Protein Kinase, Stability, Tumor Suppressor, Entrez Query:Oncogene"
8772	FADD	Fas (TNFRSF6)-associated via death domain	NM_003824	NP_003815.1	ENSG00000168040	chr11:69727213 - 69730227	apoptotic program;cell surface receptor linked signal transduction;cytoplasm;death receptor binding;identical protein binding;induction of apoptosis via death domain receptors;positive regulation of I-kappaB kinase/NF-kappaB cascade;regulation of apoptosis;signal transducer activity	"TNF_alpha_NF_kB, Entrez Query:Oncogene"
23017	FAIM2	Fas apoptotic inhibitory molecule 2	NM_012306	NP_036438.2	ENSG00000135472	chr12:48550553 - 48583842	anti-apoptosis;apoptosis;cellular_component;integral to membrane;membrane;protein binding	Entrez Query:Oncogene
2194	FASN	fatty acid synthase	NM_004104	NP_004095.4	ENSG00000169710	chr17:77630307 - 77647610	"3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity;3-oxoacyl-[acyl-carrier-protein] reductase activity;3-oxoacyl-[acyl-carrier-protein] synthase activity;acyl-ACP thioesterase activity;catalytic activity;cofactor binding;enoyl-[acyl-carrier-protein] reductase (NADPH, B-specific) activity;fatty acid biosynthetic process;glycogen granule;hydrolase activity, acting on ester bonds;lyase activity;oleoyl-[acyl-carrier-protein] hydrolase activity;oxidoreductase activity;phosphopantetheine binding;prote"	Entrez Query:Oncogene
2241	FER	fer (fps/fes related) tyrosine kinase (phosphoprotein NCP94)	NM_005246	NP_005237.2	ENSG00000151422	chr5:108161782 - 108551175	ATP binding;cell adhesion;chemotaxis;intracellular signaling cascade;nucleotide binding;nucleus;protein amino acid autophosphorylation;protein binding;protein-tyrosine kinase activity;transferase activity	"Tyrosine Kinase, Entrez Query:Oncogene"
2242	FES	feline sarcoma oncogene	NM_002005	NP_001996.1	ENSG00000182511	chr15:89229279 - 89239792	ATP binding;cell proliferation;intracellular signaling cascade;multicellular organismal development;nucleotide binding;protein amino acid phosphorylation;protein-tyrosine kinase activity;transferase activity	"Kit Receptor, Vogelstein and Kinzler 2004, Protein Kinase, Tyrosine Kinase, Entrez Query:Oncogene"
54738	FEV	FEV (ETS oncogene family)	NM_017521	NP_059991.1	ENSG00000163497	chr2:219554632 - 219558041	"nucleus;regulation of transcription, DNA-dependent;sequence-specific DNA binding;transcription corepressor activity;transcription factor activity;transcription from RNA polymerase II promoter"	"Futreal et al 2004, Mitelman 2000, Entrez Query:Oncogene, Translocation"
2248	FGF3	fibroblast growth factor 3 (murine mammary tumor virus integration site (v-int-2) oncogene homolog)	NM_005247	NP_005238.1	ENSG00000186895	chr11:69334253 - 69342638	anatomical structure morphogenesis;cell proliferation;cell-cell signaling;extracellular region;extracellular space;growth factor activity;induction of an organ;regulation of progression through cell cycle;signal transduction	Entrez Query:Oncogene
2249	FGF4	"fibroblast growth factor 4 (heparin secretory transforming protein 1, Kaposi sarcoma oncogene)"	NM_002007	NP_001998.1	ENSG00000075388	chr11:69297257 - 69299033	cell proliferation;cell-cell signaling;cellular_component;embryonic hindlimb morphogenesis;extracellular region;growth factor activity;heparin binding;mitosis;negative regulation of apoptosis;odontogenesis (sensu Vertebrata);positive regulation of cell proliferation;regulation of progression through cell cycle;signal transduction;stem cell maintenance	Entrez Query:Oncogene
2250	FGF5	fibroblast growth factor 5	"NM_033143, NM_004464"	"NP_149134.1, NP_004455.2"	ENSG00000138675	chr4:81407002 - 81426850	cell proliferation;cell-cell signaling;extracellular space;fibroblast growth factor receptor signaling pathway;growth factor activity;nervous system development;regulation of progression through cell cycle	Entrez Query:Oncogene
2260	FGFR1	"fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)"	"NM_023108, NM_023105, NM_023110, NM_023106, NM_023107, NM_015850"	"NP_075596.1, NP_075593.1, NP_075598.2, NP_075594.1, NP_075595.1, NP_056934.2"	ENSG00000077782	chr8:38390302 - 38434121	ATP binding;cell growth;fibroblast growth factor receptor activity;fibroblast growth factor receptor signaling pathway;heparin binding;integral to plasma membrane;MAPKKK cascade;membrane;membrane fraction;nucleotide binding;protein amino acid phosphorylation;protein binding;protein-tyrosine kinase activity;receptor activity;skeletal development;transferase activity	"Futreal et al 2004, Mitelman 2000, Vogelstein and Kinzler 2004, Protein Kinase, Tyrosine Kinase, Entrez Query:Oncogene, Translocation"
11116	FGFR1OP	FGFR1 oncogene partner	"NM_194429, NM_007045"	"NP_919410.1, NP_008976.1"	ENSG00000112486	chr6:167332890 - 167373456	positive regulation of cell proliferation	"Futreal et al 2004, Mitelman 2000, Protein Kinase, Entrez Query:Oncogene, Translocation"
26127	FGFR1OP2	FGFR1 oncogene partner 2	NM_015633	NP_056448.1	ENSG00000111790	chr12:26998358 - 27008933		Entrez Query:Oncogene
2263	FGFR2	"fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrome, Pfeiffer syndrome, Jackson-Weiss syndrome)"	"NM_000141, NM_022970"	"NP_000132.3, NP_075259.4"	ENSG00000066468	chr10:123229360 - 123343321	ATP binding;cell growth;cell surface;fibroblast growth factor receptor activity;heparin binding;integral to membrane;membrane;nucleotide binding;protein amino acid phosphorylation;protein binding;protein-tyrosine kinase activity;receptor activity;transferase activity	"Futreal et al 2004, Vogelstein and Kinzler 2004, Protein Kinase, Stability, Tyrosine Kinase, Entrez Query:Oncogene, Missense mutation"
2268	FGR	Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog	NM_001042729	NP_005239.1	ENSG00000000938	chr1:27812011 - 27823014	ATP binding;intracellular signaling cascade;nucleotide binding;protein amino acid phosphorylation;protein-tyrosine kinase activity;response to virus;transferase activity	"Kit Receptor, Protein Kinase, Tyrosine Kinase, Entrez Query:Oncogene"
2313	FLI1	Friend leukemia virus integration 1	NM_002017	NP_002008.2	ENSG00000151702	chr11:128069363 - 128186093	"circulation;hemostasis;nucleus;organ morphogenesis;regulation of transcription, DNA-dependent;sequence-specific DNA binding;transcription;transcription factor activity"	"Futreal et al 2004, Mitelman 2000, Tumor Suppressor, Entrez Query:Oncogene, Translocation"
2321	FLT1	fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor)	NM_002019	NP_002010.2	ENSG00000102755	chr13:27775303 - 27966980	ATP binding;cell differentiation;cell migration;extracellular space;identical protein binding;integral to plasma membrane;membrane;multicellular organismal development;nucleotide binding;patterning of blood vessels;positive regulation of cell proliferation;pregnancy;protein amino acid phosphorylation;receptor activity;transferase activity;transmembrane receptor protein tyrosine kinase signaling pathway;vascular endothelial growth factor receptor activity	"Stability, Tyrosine Kinase, Entrez Query:Oncogene"
2353	FOS	v-fos FBJ murine osteosarcoma viral oncogene homolog	NM_005252	NP_005243.1	ENSG00000170345	chr14:74815438 - 74817880	DNA methylation;inflammatory response;nervous system development;nucleus;protein dimerization activity;regulation of transcription from RNA polymerase II promoter;sequence-specific DNA binding;specific RNA polymerase II transcription factor activity;transcription factor activity;transcription factor complex	"EGFR1, TGFBR, Stability, Entrez Query:Oncogene"
2354	FOSB	FBJ murine osteosarcoma viral oncogene homolog B	"NM_006732, NM_001114171"	"NP_006723.2, NP_001107643.1"	ENSG00000125740	chr19:50663684 - 50668110	"behavior;multicellular organismal development;negative regulation of transcription from RNA polymerase II promoter;nucleus;protein dimerization activity;regulation of progression through cell cycle;regulation of transcription, DNA-dependent;sequence-specific DNA binding;transcription factor activity;transcription factor binding"	"TGFBR, Entrez Query:Oncogene"
8061	FOSL1	FOS-like antigen 1	NM_005438	NP_005429.1	ENSG00000175592	chr11:65416932 - 65424386	cellular defense response;chemotaxis;nucleus;positive regulation of cell proliferation;protein dimerization activity;regulation of transcription from RNA polymerase II promoter;response to virus;sequence-specific DNA binding;transcription factor activity	Entrez Query:Oncogene
3169	FOXA1	forkhead box A1	NM_004496	NP_004487.2	ENSG00000129514	chr14:37130320 - 37133928	"branching morphogenesis of a tube;epithelial cell differentiation;glucose homeostasis;hormone metabolic process;lung development;nucleus;positive regulation of transcription from RNA polymerase II promoter;regulation of transcription, DNA-dependent;sequence-specific DNA binding;transcription;transcription factor activity"	Entrez Query:Oncogene
2290	FOXG1	forkhead box G1B	NM_005249	NP_005240.3	ENSG00000176165	chr14:28306236 - 28307706	"brain development;multicellular organismal development;nucleus;regulation of transcription, DNA-dependent;sequence-specific DNA binding;transcription;transcription factor activity"	"TGFBR, Entrez Query:Oncogene"
50943	FOXP3	forkhead box P3	"NM_014009, NM_001114377"	"NP_054728.2, NP_001107849.1"	ENSG00000049768	chrX:48994738 - 49001906	chromatin remodeling;general transcriptional repressor activity;inhibition of CREB transcription factor;inhibition of NF-kappaB transcription factor;intracellular;metal ion binding;negative regulation of activated T cell proliferation;negative regulation of cell proliferation;negative regulation of cytokine secretion;negative regulation of immune response;negative regulation of interferon-gamma production;negative regulation of interleukin-10 production;negative regulation of interleukin-2 biosynthetic proc	"Stability, Tumor Suppressor, Entrez Query:Oncogene"
10023	FRAT1	frequently rearranged in advanced T-cell lymphomas	NM_005479	NP_005470.2	ENSG00000165879	chr10:99069200 - 99070040	Wnt receptor signaling pathway	Entrez Query:Oncogene
65991	FUNDC2	FUN14 domain containing 2	NM_023934	NP_076423.2	ENSG00000165775	chrX:153908407 - 153936141		Entrez Query:Oncogene
2521	FUS	fusion (involved in t(12;16) in malignant liposarcoma)	NM_004960	NP_004951.1	ENSG00000089280	chr16:31099036 - 31110260	biological_process;cellular_component;DNA binding;intracellular;metal ion binding;molecular_function;nucleic acid binding;nucleotide binding;nucleus;protein binding;RNA binding;zinc ion binding	"Futreal et al 2004, Mitelman 2000, Entrez Query:Oncogene, Translocation"
2534	FYN	"FYN oncogene related to SRC, FGR, YES"	"NM_002037, NM_153048, NM_153047"	"NP_002028.1, NP_694593.1, NP_694592.1"	ENSG00000010810	chr6:112089634 - 112147947	ATP binding;feeding behavior;identical protein binding;intracellular signaling cascade;learning;manganese ion binding;metal ion binding;multicellular organismal development;nucleotide binding;protein amino acid phosphorylation;protein kinase cascade;protein-tyrosine kinase activity;T cell receptor signaling pathway;transferase activity	"Alpha6Beta4 Integrin, Kit Receptor, Protein Kinase, Tyrosine Kinase, Entrez Query:Oncogene"
9846	GAB2	GRB2-associated binding protein 2	NM_012296	NP_036428.1	ENSG00000033327	chr11:77607965 - 77806414		"Protein Kinase, Entrez Query:Oncogene"
2621	GAS6	growth arrest-specific 6	NM_000820	NP_000811.1	ENSG00000183087	chr13:113547049 - 113590106	calcium ion binding;cell proliferation;extracellular region;receptor binding;regulation of cell growth;signal transduction	"Stability, Entrez Query:Oncogene"
2668	GDNF	glial cell derived neurotrophic factor	"NM_000514, NM_199231, NM_199234"	"NP_000505.1, NP_954701.1, NP_954704.1"	ENSG00000168621	chr5:37851509 - 37870655	anti-apoptosis;biological_process;cellular_component;growth factor activity;nervous system development;neural crest cell migration;neurite development;signal transduction	Entrez Query:Oncogene
2672	GFI1	growth factor independent 1	"NM_005263, NM_001127215, NM_001127216"	"NP_005254.2, NP_001120687.1, NP_001120688.1"	ENSG00000162676	chr1:92714173 - 92721632	"auditory receptor cell differentiation;cell fate commitment;DNA binding;G1/S-specific transcription in mitotic cell cycle;inner ear morphogenesis;intracellular;mechanosensory behavior;metal ion binding;negative regulation of cell fate specification;nucleus;positive regulation of cell fate specification;regulation of transcription, DNA-dependent;RNA polymerase II transcription factor activity;transcription;viral reproduction;zinc ion binding"	"Stability, Entrez Query:Oncogene"
27069	GHITM	growth hormone inducible transmembrane protein	NM_014394	NP_055209.2	ENSG00000165678	chr10:85891236 - 85902084	biological_process;integral to membrane;membrane;mitochondrion;molecular_function	Entrez Query:Oncogene
2735	GLI1	glioma-associated oncogene homolog 1 (zinc finger protein)	NM_005269	NP_005260.1	ENSG00000111087	chr12:56143741 - 56152111	cerebellar cortex morphogenesis;chromatin binding;cytoplasm;DNA binding;dorsal/ventral pattern formation;epidermal cell differentiation;intracellular;lung development;metal ion binding;microtubule binding;multicellular organismal development;notochord development;nucleus;osteoblast differentiation;pituitary gland development;positive regulation of cell proliferation;positive regulation of DNA replication;positive regulation of transcription;positive regulation of transcription from RNA polymerase II promote	"Hedgehog, Vogelstein and Kinzler 2004, Entrez Query:Oncogene"
2736	GLI2	GLI-Kruppel family member GLI2	NM_005270	NP_005261.2	ENSG00000074047	chr2:121271366 - 121464721	axon guidance;branching morphogenesis of a tube;cell proliferation;cerebellar cortex morphogenesis;developmental growth;embryonic gut development;floor plate formation;heart development;hindbrain development;hindgut morphogenesis;intracellular;kidney development;lung development;mammary gland development;metal ion binding;negative regulation of transcription from RNA polymerase II promoter;neuron development;notochord development;nucleus;odontogenesis (sensu Vertebrata);osteoblast development;pattern specif	Entrez Query:Oncogene
2737	GLI3	GLI-Kruppel family member GLI3 (Greig cephalopolysyndactyly syndrome)	NM_000168	NP_000159.3	ENSG00000106571	chr7:41970452 - 42229377	anatomical structure formation;anterior/posterior pattern formation;chromatin binding;cytoplasm;developmental growth;embryonic gut morphogenesis;embryonic limb morphogenesis;embryonic morphogenesis;forebrain development;heart development;hindgut morphogenesis;intracellular;lung development;mammary gland development;metal ion binding;metanephros development;negative regulation of cell differentiation;negative regulation of cell proliferation;negative regulation of transcription;neural tube development;neuron	Entrez Query:Oncogene
2738	GLI4	GLI-Kruppel family member GLI4	NM_138465	NP_612474.1	ENSG00000181638	chr8:144422941 - 144430349	biological_process;DNA binding;intracellular;metal ion binding;molecular_function;nucleic acid binding;nucleus;zinc ion binding	Entrez Query:Oncogene
10399	GNB2L1	"guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1"	NM_006098	NP_006089.1		chr5:180596582 - 180603406	cell soma;cytoplasm;protein kinase C activation;protein kinase C binding;receptor binding;signal transduction	"TNF_alpha_NF_kB, Entrez Query:Oncogene"
9950	GOLGA5	"golgi autoantigen, golgin subfamily a, 5"	NM_005113	NP_005104.2	ENSG00000066455	chr14:92333535 - 92375544	ATP binding;cell surface receptor linked signal transduction;cis-Golgi network;Golgi apparatus;Golgi cisterna;Golgi organization and biogenesis;Golgi vesicle transport;integral to membrane;membrane;protein amino acid phosphorylation;protein homodimerization activity;protein-tyrosine kinase activity;Rab GTPase binding	"Futreal et al 2004, Mitelman 2000, Protein Kinase, Entrez Query:Oncogene, Translocation"
64083	GOLPH3	golgi phosphoprotein 3 (coat-protein)	NM_022130	NP_071413.1	ENSG00000113384	chr5:32162074 - 32209897	Golgi apparatus;membrane	Entrez Query:Oncogene
57120	GOPC	golgi associated PDZ and coiled-coil motif containing			ENSG00000047932	chr6:null	apical protein localization;cystic fibrosis transmembrane conductance regulator binding;cytoplasm;cytoplasmic sequestering of CFTR protein;ER to Golgi vesicle-mediated transport;Golgi apparatus;Golgi to plasma membrane transport;intracellular transporter activity;membrane fraction;plasma membrane;protein homooligomerization;protein transport;syntaxin-6 binding;trans-Golgi network transport vesicle	"Futreal et al 2004, Mitelman 2000, Entrez Query:Oncogene"
29933	GPR132	G protein-coupled receptor 132	NM_013345	NP_037477.1	ENSG00000183484	chr14:104588375 - 104592802	G-protein coupled receptor protein signaling pathway;G1/S transition of mitotic cell cycle;integral to membrane;membrane;receptor activity;rhodopsin-like receptor activity;signal transduction	Entrez Query:Oncogene
2907	GRINA	"glutamate receptor, ionotropic, N-methyl D-asparate-associated protein 1 (glutamate binding)"	NM_001009184	NP_001009184.1	ENSG00000178719	chr8:145137379 - 145138997	receptor activity	Entrez Query:Oncogene
2932	GSK3B	glycogen synthase kinase 3 beta	NM_002093	NP_002084.2	ENSG00000082701	chr3:121028324 - 121294971	ATP binding;beta-catenin destruction complex;cytoplasm;ER overload response;glycogen metabolic process;glycogen synthase kinase 3 activity;negative regulation of apoptosis;NF-kappaB binding;nucleotide binding;nucleus;p53 binding;peptidyl-serine phosphorylation;positive regulation of protein export from nucleus;transferase activity;Wnt receptor signaling pathway through beta-catenin	"NOTCH, TNF_alpha_NF_kB, Wnt, Protein Kinase, Stability, Tumor Suppressor, Entrez Query:Oncogene"
283120	H19	"H19, imprinted maternally expressed untranslated mRNA"				chr11:null		"Tumor Suppressor, Entrez Query:Oncogene"
3074	HEXB	hexosaminidase B (beta polypeptide)	NM_000521	NP_000512.1	ENSG00000049860	chr5:74016841 - 74052756	"acrosome;beta-N-acetylhexosaminidase activity;calcium ion homeostasis;carbohydrate metabolic process;cation binding;cellular protein metabolic process;ganglioside catabolic process;glycosaminoglycan metabolic process;glycosphingolipid metabolic process;hydrolase activity, acting on glycosyl bonds;locomotory behavior;lysosome organization and biogenesis;male courtship behavior;membrane;metabolic process;myelination;neuromuscular process;oligosaccharide catabolic process;oogenesis (sensu Mammalia);penetration"	Entrez Query:Oncogene
3082	HGF	hepatocyte growth factor (hepapoietin A; scatter factor)	"NM_001010933, NM_001010931, NM_000601, NM_001010934, NM_001010932"	"NP_001010933.1, NP_001010931.1, NP_000592.3, NP_001010934.1, NP_001010932.1"	ENSG00000019991	chr7:81169832 - 81237223	cellular_component;epithelial to mesenchymal transition;growth factor activity;mitosis;protein binding;proteolysis;serine-type endopeptidase activity	Entrez Query:Oncogene
3087	HHEX	hematopoietically expressed homeobox	NM_002729	NP_002720.1	ENSG00000152804	chr10:94439723 - 94444505	"embryonic heart tube development;forebrain development;liver development;multicellular organismal development;nucleus;protein binding;regulation of cell proliferation;regulation of transcription, DNA-dependent;sequence-specific DNA binding;thyroid gland development;transcription factor activity"	Entrez Query:Oncogene
3091	HIF1A	"hypoxia-inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)"	"NM_181054, NM_001530"	"NP_851397.1, NP_001521.1"	ENSG00000100644	chr14:61232275 - 61283556	"histone acetyltransferase binding;homeostatic process;nucleus;positive regulation of transcription;protein binding;protein heterodimerization activity;regulation of transcription, DNA-dependent;response to hypoxia;RNA polymerase II transcription factor activity, enhancer binding;signal transducer activity;signal transduction"	"Stability, Tumor Suppressor, Entrez Query:Oncogene"
284459	HKR1	GLI-Kruppel family member HKR1	NM_181786	NP_861451.1	ENSG00000181666	chr19:42527426 - 42546517	"DNA binding;intracellular;metal ion binding;multicellular organismal development;nucleic acid binding;nucleus;regulation of transcription, DNA-dependent;transcription;zinc ion binding"	Entrez Query:Oncogene
3159	HMGA1	high mobility group AT-hook 1	NM_145905	NP_665912.1	ENSG00000137309	chr6:34316535 - 34320639	"AT DNA binding;chromatin;chromosome;chromosome organization and biogenesis (sensu Eukaryota);DNA binding;DNA unwinding during replication;ligand-dependent nuclear receptor transcription coactivator activity;loss of chromatin silencing;nucleosome disassembly;nucleus;peroxisome proliferator activated receptor binding;positive regulation of transcription;protein complex assembly;regulation of transcription, DNA-dependent;retinoid X receptor binding;transcription;transcription factor activity;transcription fact"	"Futreal et al 2004, Mitelman 2000, Entrez Query:Oncogene, Translocation"
8091	HMGA2	high mobility group AT-hook 2	"NM_003483, NM_003484"	"NP_003474.1, NP_003475.1"	ENSG00000149948	chr12:64505317 - 64643339	"AT DNA binding;chromatin;chromosome;chromosome organization and biogenesis (sensu Eukaryota);DNA binding;establishment and/or maintenance of chromatin architecture;multicellular organismal development;nucleus;protein binding;regulation of transcription, DNA-dependent;transcription"	"Futreal et al 2004, Mitelman 2000, Vogelstein and Kinzler 2004, Entrez Query:Oncogene, Translocation"
3172	HNF4A	"hepatocyte nuclear factor 4, alpha"	"NM_001030004, NM_178850, NM_178849, NM_175914, NM_000457, NM_001030003"	"NP_001025175.1, NP_849181.1, NP_849180.1, NP_787110.2, NP_000448.3, NP_001025174.1"	ENSG00000101076	chr20:42463426 - 42491719	"blood coagulation;lipid metabolic process;metal ion binding;nucleus;protein binding;regulation of transcription from RNA polymerase II promoter;regulation of transcription, DNA-dependent;RNA polymerase II transcription factor activity;sequence-specific DNA binding;steroid binding;steroid hormone receptor activity;transcription;transcription factor activity;tRNA-pseudouridine synthase activity;zinc ion binding"	Entrez Query:Oncogene
3198	HOXA1	homeobox A1	"NM_153620, NM_005522"	"NP_705873.2, NP_005513.1"	ENSG00000105991	chr7:27100583 - 27102056	anterior/posterior pattern formation;hindbrain development;inner ear morphogenesis;multicellular organismal development;nervous system development;nucleus;regulation of transcription from RNA polymerase II promoter;RNA polymerase II transcription factor activity;sequence-specific DNA binding;transcription factor activity	Entrez Query:Oncogene
3265	HRAS	v-Ha-ras Harvey rat sarcoma viral oncogene homolog	"NM_176795, NM_005343"	"NP_789765.1, NP_005334.1"	ENSG00000174775	chr11:522635 - 524322	cell surface receptor linked signal transduction;chemotaxis;cytoplasm;GTP binding;intracellular;membrane;nucleotide binding;organ morphogenesis;plasma membrane;protein C-terminus binding;regulation of progression through cell cycle;small GTPase mediated signal transduction	"EGFR1, Kit Receptor, Futreal et al 2004, Hahn and Weinberg 2002, Tumor Suppressor, Entrez Query:Oncogene, Missense mutation"
3298	HSF2	heat shock transcription factor 2	NM_004506	NP_004497.1	ENSG00000025156	chr6:122762581 - 122795064	"nucleus;regulation of transcription, DNA-dependent;sequence-specific DNA binding;transcription;transcription coactivator activity;transcription factor activity;transcription from RNA polymerase II promoter"	Entrez Query:Oncogene
3320	HSP90AA1	"heat shock protein 90kDa alpha (cytosolic), class A member 1"	NM_001017963	NP_005339.3	ENSG00000080824	chr14:101617801 - 101675494	ATP binding;biological_process;cellular_component;cytosol;mitochondrial transport;molecular_function;nitric-oxide synthase regulator activity;nucleotide binding;positive regulation of nitric oxide biosynthetic process;protein folding;protein homodimerization activity;protein refolding;response to unfolded protein;signal transduction;TPR domain binding;unfolded protein binding	"TNF_alpha_NF_kB, Futreal et al 2004, Stability, Entrez Query:Oncogene, Translocation"
3315	HSPB1	heat shock 27kDa protein 1	NM_001540	NP_001531.1	ENSG00000106211	chr7:75769965 - 75771426	anti-apoptosis;cell motility;cell surface;cytoplasm;cytoskeleton;protein binding;regulation of translational initiation;response to unfolded protein	"TNF_alpha_NF_kB, Stability, Entrez Query:Oncogene"
3397	ID1	"inhibitor of DNA binding 1, dominant negative helix-loop-helix protein"	"NM_181353, NM_002165"	"NP_851998.1, NP_002156.2"	ENSG00000125968	chr20:29656851 - 29657558	multicellular organismal development;negative regulation of transcription;negative regulation of transcription factor activity;nucleus;protein binding;regulation of transcription from RNA polymerase II promoter;transcriptional repressor activity	"ID, Stability, Entrez Query:Oncogene"
3428	IFI16	"interferon, gamma-inducible protein 16"	NM_005531	NP_005522.2	ENSG00000163565	chr1:157251094 - 157291315	"cell proliferation;DNA binding;DNA damage response, signal transduction by p53 class mediator resulting in induction of apoptosis;double-stranded DNA binding;immune response;monocyte differentiation;myeloid cell differentiation;nucleolus;nucleoplasm;nucleus;protein binding;regulation of transcription, DNA-dependent;response to virus;transcription;transcriptional repressor activity"	"ID, Entrez Query:Oncogene"
56832	IFNK	"interferon, kappa"	NM_020124	NP_064509.2	ENSG00000147896	chr9:27514334 - 27514958	cytokine and chemokine mediated signaling pathway;defense response;extracellular region;extracellular space;interferon-alpha/beta receptor binding;natural killer cell activation;negative regulation of cell proliferation;positive regulation of innate immune response;regulation of transcription;response to virus	Entrez Query:Oncogene
3486	IGFBP3	insulin-like growth factor binding protein 3	"NM_001013398, NM_000598"	"NP_001013416.1, NP_000589.2"	ENSG00000146674	chr7:45920943 - 45927264	extracellular region;insulin-like growth factor binding;metal ion binding;negative regulation of signal transduction;positive regulation of apoptosis;positive regulation of myoblast differentiation;protein tyrosine phosphatase activator activity;regulation of cell growth	"Tumor Suppressor, Entrez Query:Oncogene"
3490	IGFBP7	insulin-like growth factor binding protein 7	NM_001553	NP_001544.1	ENSG00000163453	chr4:57592239 - 57671274	extracellular region;insulin-like growth factor binding;negative regulation of cell proliferation;regulation of cell growth	"Tumor Suppressor, Entrez Query:Oncogene"
9641	IKBKE	"inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase epsilon"	NM_014002	NP_054721.1	ENSG00000143466	chr1:204713193 - 204736101	ATP binding;cytoplasm;IkappaB kinase activity;immune response;NF-kappaB-inducing kinase activity;nucleotide binding;positive regulation of I-kappaB kinase/NF-kappaB cascade;protein amino acid phosphorylation;protein binding;signal transducer activity;transferase activity	"TNF_alpha_NF_kB, Tumor Suppressor, Entrez Query:Oncogene"
3576	IL8	interleukin 8	NM_000584	NP_000575.1	ENSG00000169429	chr4:74825239 - 74827045	angiogenesis;calcium-mediated signaling;cell cycle arrest;cell motility;cell-cell signaling;chemokine activity;chemotaxis;extracellular region;extracellular space;G-protein coupled receptor protein signaling pathway;immune response;induction of positive chemotaxis;inflammatory response;interleukin-8 receptor binding;intracellular signaling cascade;negative regulation of cell proliferation;neutrophil activation;neutrophil chemotaxis;protein binding;regulation of cell adhesion;regulation of retroviral genome	"Stability, Entrez Query:Oncogene"
3579	IL8RB	"interleukin 8 receptor, beta"	NM_001557	NP_001548.1	ENSG00000180871	chr2:218707769 - 218708852	"apoptosis;cell surface;cellular defense response;chemotaxis;G-protein signaling, coupled to IP3 second messenger (phospholipase C activating);inflammatory response;integral to plasma membrane;interleukin-8 receptor activity;intracellular;mast cell granule;membrane;neutrophil activation;neutrophil chemotaxis;positive regulation of cell proliferation;receptor activity;rhodopsin-like receptor activity"	Entrez Query:Oncogene
